singular_value_index,mean_c_ideal_noise_0,std_c_ideal_noise_0,mean_c_noisy_noise_25,std_c_noisy_noise_25,mean_c_ctc_noise_25,std_c_ctc_noise_25,mean_c_noisy_noise_50,std_c_noisy_noise_50,mean_c_ctc_noise_50,std_c_ctc_noise_50
25,0.47371005076031414,0.0,0.8206250010658522,0.0,0.4639551096273696,0.0,0.9259075859810922,0.0,0.6587321441199661,0.0
26,0.4582726314802104,0.0,0.8163248818000696,0.0,0.45940955231603176,0.0,0.9252916302945033,0.0,0.6534992594591045,0.0
27,0.38074053261942475,0.0,0.8108945624594857,0.0,0.4341523422133865,0.0,0.9218247503491912,0.0,0.6465419753659594,0.0
28,0.3523190033320483,0.0,0.8083443286425054,0.0,0.4246314106039474,0.0,0.9202491750142218,0.0,0.6438895615068422,0.0
29,0.328257901719199,0.0,0.8039817041665888,0.0,0.41587462587756324,0.0,0.917223172622614,0.0,0.6317209720996867,0.0
30,0.31581294281347344,0.0,0.8024583657627735,0.0,0.4071339149940975,0.0,0.9167336256686438,0.0,0.6253433334137096,0.0
31,0.29297068952734845,0.0,0.7960243835555093,0.0,0.39865858696901973,0.0,0.9155018531718883,0.0,0.6168014341580486,0.0
32,0.28283060756523365,0.0,0.7889216043748879,0.0,0.39142646148113397,0.0,0.9143490431150233,0.0,0.6134283321281508,0.0
33,0.251928089392798,0.0,0.7822087352030783,0.0,0.3768373306934169,0.0,0.9131163825963795,0.0,0.6022370623062893,0.0
34,0.23280943110797572,0.0,0.7800585018019575,0.0,0.37118460074301407,0.0,0.911993712477818,0.0,0.5967735824204577,0.0
35,0.21057834951754675,0.0,0.778785815251923,0.0,0.3678122864189897,0.0,0.910428122037061,0.0,0.5889833978619392,0.0
36,0.201518044408888,0.0,0.7731992147427998,0.0,0.3589222531592332,0.0,0.9078365302651711,0.0,0.5749602335113992,0.0
37,0.18856519648770484,0.0,0.7685879979235777,0.0,0.35224023836883406,0.0,0.9071716583447802,0.0,0.5698568444332786,0.0
38,0.16996585806875567,0.0,0.7662333984288096,0.0,0.3401931999576003,0.0,0.9065438851500389,0.0,0.5662919274073585,0.0
39,0.1601881069536954,0.0,0.761450782505507,0.0,0.3320050475602997,0.0,0.904711889587483,0.0,0.5628293527880287,0.0
40,0.15547902548362283,0.0,0.7608909075017974,0.0,0.32525779495335144,0.0,0.9030666250584151,0.0,0.5598782215968295,0.0
41,0.14227250323292773,0.0,0.7519337092752796,0.0,0.31855289775639695,0.0,0.9020723344321103,0.0,0.5491010666143185,0.0
42,0.13637567921096277,0.0,0.7497569583963283,0.0,0.3130307215675894,0.0,0.9004265135163,0.0,0.5409854567429567,0.0
43,0.1338994514291141,0.0,0.7460202297492444,0.0,0.3076729138323912,0.0,0.8982980772253122,0.0,0.5366921498483546,0.0
